"ident","type","name","elevation_ft","continent","iso_country","iso_region","municipality","gps_code","iata_code","local_code","long","lat"
"AYNZ","medium_airport","Nadzab Airport",239,"OC","PG","PG-MPL","Lae","AYNZ","LAE","","146.725977","-6.569803"
"AYPY","large_airport","Port Moresby Jacksons International Airport",146,"OC","PG","PG-NCD","Port Moresby","AYPY","POM","","147.22000122070312","-9.443380355834961"
"AYTK","medium_airport","Tokua Airport",32,"OC","PG","PG-EBR","Tokua","AYTK","RAB","","152.380004883","-4.34045982361"
"AYVN","medium_airport","Vanimo Airport",10,"OC","PG","PG-SAN","Vanimo","AYVN","VAI","","141.3028","-2.6926"
"AYWD","medium_airport","Wapenamanda Airport",5889,"OC","PG","PG-EPW","","AYWD","WBM","","143.89500427246094","-5.6433000564575195"
"AYWK","medium_airport","Wewak International Airport",19,"OC","PG","PG-ESW","Wewak","AYWK","WWK","","143.669006348","-3.58383011818"
"AZ-0001","medium_airport","Zabrat Airport",36,"AS","AZ","AZ-BA","Baku","UBTT","ZXT","","49.9768066406","40.4955422161"
"AZ-0013","medium_airport","Sital Chay Airport",,"AS","AZ","AZ-XIZ","","","","","49.431481361399996","40.8073129238"
"AZ-0021","medium_airport","Kyzylagadzh Air Base",,"AS","AZ","AZ-MAS","","","","","48.806312084199995","39.006162267899995"
"BCW","medium_airport","Benguera Island Airport",,"AF","MZ","MZ-I","Benguera Island","","BCW","","35.43830108642578","-21.853300094604492"
"BG-JAM","medium_airport","Bezmer Air Base",509,"EU","BG","BG-28","Yambol","LBIA","JAM","","26.3521995544","42.4548988342"
"BGAA","medium_airport","Aasiaat Airport",74,,"GL","GL-U-A","Aasiaat","BGAA","JEG","","-52.7846984863","68.7218017578"
"BGBW","medium_airport","Narsarsuaq Airport",112,,"GL","GL-U-A","Narsarsuaq","BGBW","UAK","","-45.4259986877","61.1604995728"
"BGGH","medium_airport","Godthaab / Nuuk Airport",283,,"GL","GL-U-A","Nuuk","BGGH","GOH","","-51.6781005859","64.19090271"
"BGSF","medium_airport","Kangerlussuaq Airport",165,,"GL","GL-U-A","Kangerlussuaq","BGSF","SFJ","","-50.7116031647","67.0122218992"
"BGSS","medium_airport","Sisimiut Airport",33,,"GL","GL-U-A","Sisimiut","BGSS","JHS","","-53.729301","66.951302"
"BGTL","medium_airport","Thule Air Base",251,,"GL","GL-U-A","Thule","BGTL","THU","","-68.7032012939","76.5311965942"
"BIAR","medium_airport","Akureyri Airport",6,"EU","IS","IS-6","Akureyri","BIAR","AEY","","-18.07270050048828","65.66000366210938"
"BIEG","medium_airport","EgilsstaÃ°ir Airport",76,"EU","IS","IS-7","EgilsstaÃ°ir","BIEG","EGS","","-14.401399612426758","65.2833023071289"
"BIHN","medium_airport","HornafjÃ¶rÃ°ur Airport",24,"EU","IS","IS-8","HÃ¶fn","BIHN","HFN","","-15.2272","64.295601"
"BIHU","medium_airport","HÃºsavÃ­k Airport",48,"EU","IS","IS-6","HÃºsavÃ­k","BIHU","HZK","","-17.426001","65.952301"
"BIIS","medium_airport","ÃsafjÃ¶rÃ°ur Airport",8,"EU","IS","IS-4","ÃsafjÃ¶rÃ°ur","BIIS","IFJ","","-23.135299682617188","66.05809783935547"
"BIKF","large_airport","Keflavik International Airport",171,"EU","IS","IS-2","ReykjavÃ­k","BIKF","KEF","","-22.6056","63.985001"
"BIRK","medium_airport","Reykjavik Airport",48,"EU","IS","IS-1","Reykjavik","BIRK","RKV","","-21.9405994415","64.1299972534"
"BISI","medium_airport","SiglufjÃ¶rÃ°ur Airport",10,"EU","IS","IS-6","SiglufjÃ¶rÃ°ur","BISI","SIJ","","-18.9167","66.133301"
"BIVM","medium_airport","Vestmannaeyjar Airport",326,"EU","IS","IS-8","Vestmannaeyjar","BIVM","VEY","","-20.278900146484375","63.42430114746094"
"BKPR","large_airport","PriÅ¡tina International Airport",1789,"EU","XK","XK-01","Prishtina","BKPR","PRN","","21.035801","42.5728"
"BR-0569","medium_airport","Glauber de Andrade Rocha Airport",2940,"SA","BR","BR-BA","VitÃ³ria da Conquista","SSVC","","BA0005","-40.914804","-14.907885"
"BY-0001","medium_airport","Balbasovo Air Base",620,"EU","BY","BY-VI","Orsha","","","","30.29669952392578","54.439998626708984"
"BY-0003","medium_airport","Bobrovichi Air Base",440,"EU","BY","BY-HO","Kalinovichi","","","","29.360000610351562","52.27830123901367"
"BY-0006","medium_airport","Osovtsy Air Base",,"EU","BY","BY-BR","Byaroza","UMMO","","","24.884000778199997","52.5569992065"
"BZ-BGK","medium_airport","Big Creek Airport",3,,"BZ","BZ-SC","Big Creek","","BGK","","-88.40791320800781","16.51936912536621"
"BZ-CUK","medium_airport","Caye Caulker Airport",1,,"BZ","BZ-BZ","Caye Caulker","","CUK","","-88.03250122070312","17.734699249267578"
"BZ-CYC","medium_airport","Caye Chapel Airport",3,,"BZ","BZ-BZ","Caye Chapel","","CYC","","-88.04109954833984","17.7007999420166"
"BZ-CZH","medium_airport","Corozal Municipal Airport",40,,"BZ","BZ-CZL","Corozal","","CZH","","-88.41190338134766","18.382200241088867"
"BZ-DGA","medium_airport","Dangriga Airport",508,,"BZ","BZ-SC","Dangriga","","DGA","","-88.23098754882812","16.98250961303711"
"BZ-PLJ","medium_airport","Placencia Airport",3,,"BZ","BZ-SC","Placencia","","PLJ","","-88.36151123046875","16.536956787109375"
"BZ-PND","medium_airport","Punta Gorda Airport",7,,"BZ","BZ-TOL","Punta Gorda","","PND","","-88.80829620360001","16.102399826"
"BZ-SJX","medium_airport","Sartaneja Airport",3,,"BZ","BZ-CZL","Sartaneja","","SJX","","-88.13079833984375","18.35610008239746"
"BZ-SPR","medium_airport","San Pedro Airport",4,,"BZ","BZ-CY","San Pedro","MZSP","SPR","","-87.9711","17.9139"
"BZ-TZA","medium_airport","Belize City Municipal Airport",16,,"BZ","BZ-BZ","Belize City","","TZA","","-88.19444274902344","17.516389846801758"
"BZB","medium_airport","Bazaruto Island Airport",,"AF","MZ","MZ-I","Bazaruto Island","","BZB","","35.4729","-21.5411"
"CA-0673","medium_airport","Cycd",,,"CA","CA-BC","Nanaimo","","","","-123.87085","49.05497"
"CN-0002","medium_airport","Nanjing Air Base",,"AS","CN","CN-32","Nanjing","","","","118.81199645996094","31.998300552368164"
"CN-0003","medium_airport","Laohutun Air Base",,"AS","CN","CN-21","","","","","121.76599884033203","39.66999816894531"
"CN-0004","medium_airport","Pulandian Air Base",,"AS","CN","CN-21","","","","","122.01799774169922","39.45090103149414"
"CN-0006","medium_airport","Beijing Shahezhen Air Base",,"AS","CN","CN-11","Beijing","","","","116.3213882446289","40.149166107177734"
"CN-0007","medium_airport","Beijing Tongxian Air Base",,"AS","CN","CN-11","Beijing","","","","116.70833587646484","39.81111145019531"
"CN-0010","medium_airport","Yinchuan Hedong International Airport",,"AS","CN","CN-64","Yinchuan","ZLIC","INC","","106.393214","38.322758"
"CN-0011","medium_airport","Duplicate --Yantai Penglai International Airport",154,"AS","CN","CN-U-A","Yantai","ZSYT","YNT","","120.9872","37.65722"
"CN-0012","medium_airport","Yuanmou Air Base",3810,"AS","CN","CN-53","Yuanmou","ZPYM","YUA","","101.88200378418","25.737499237061"
"CN-0013","medium_airport","Fengning Air Base",,"AS","CN","CN-13","","","","","116.61799621582031","41.260799407958984"
"CN-0014","medium_airport","Hohhot Air Base",,"AS","CN","CN-15","","","","","111.22899627685547","40.73720169067383"
"CN-0015","medium_airport","Huairen Air Base",3260,"AS","CN","CN-14","Datong","","","","113.142997742","39.717498779299994"
"CN-0016","medium_airport","Liangxiangzhen Air Base",,"AS","CN","CN-11","Beijing","","","","116.1259994506836","39.7578010559082"
"CN-0018","medium_airport","Tangguantun Air Base",,"AS","CN","CN-12","","","","","117.06800079345703","38.78110122680664"
"CN-0020","medium_airport","Wenshui Air Base",,"AS","CN","CN-14","","","","","111.96600341796875","37.407798767089844"
"CN-0021","medium_airport","Yangcun Air Base",,"AS","CN","CN-12","","","","","117.09500122070312","39.37329864501953"
"CN-0022","medium_airport","Yongning Air Base",,"AS","CN","CN-11","Yongning","","","","116.10800170898438","40.50310134887695"
"CN-0024","medium_airport","Zhangjiakou Ningyuan Airport",2347,"AS","CN","CN-13","Zhangjiakou","ZBZJ","ZQZ","","114.930000305","40.7386016846"
"CN-0025","medium_airport","Zunhua Air Base",,"AS","CN","CN-13","","","","","117.88700103759766","40.102500915527344"
"CN-0026","medium_airport","Chengdu Air Base",,"AS","CN","CN-51","","","","","103.94999694824219","30.705299377441406"
"CN-0027","medium_airport","Baoshan Yunduan Airport",5453,"AS","CN","CN-53","","ZPBS","BSD","","99.168297","25.053301"
"CN-0030","medium_airport","Chongqing Air Base",,"AS","CN","CN-50","Chongqing","","","","106.35900115966797","29.49530029296875"
"CN-0040","medium_airport","Lintsang Airfield",6230,"AS","CN","CN-53","Lincang","ZPLC","LNJ","","100.025001526","23.738100051900002"
"CN-0041","medium_airport","Luliang Air Base",,"AS","CN","CN-53","","","","","103.64199829101562","24.988300323486328"
"CN-0043","medium_airport","Mengzi Air Base",,"AS","CN","CN-53","","","","","103.33399963378906","23.395299911499023"
"CN-0045","medium_airport","Qionglai Air Base",,"AS","CN","CN-51","","","","","103.46499633789062","30.489999771118164"
"CN-0046","medium_airport","Shigatse Air Base",3782,"AS","CN","CN-54","XigazÃª","ZURK","RKZ","","89.311401","29.3519"
"CN-0048","medium_airport","Wenshan Air Base",,"AS","CN","CN-53","","","","","103.8270034790039","23.715599060058594"
"CN-0049","medium_airport","Xiangyun Midu Air Base",,"AS","CN","CN-53","","","","","100.73500061035156","25.44529914855957"
"CN-0050","medium_airport","Bao'anying Airport",1620,"AS","CN","CN-51","Panzhihua","ZUZH","PZI","","101.79852","26.54"
"CN-0053","medium_airport","Baihe Ning Ming Air Base",,"AS","CN","CN-45","","","","","107.125","22.1205997467041"
"CN-0055","medium_airport","Changsha Datuopu Airport/AFB",170,"AS","CN","CN-43","Changsha","ZGCS","","","112.958000183","28.0688991547"
"CN-0056","medium_airport","Dangyang Air Base",,"AS","CN","CN-42","","","","","111.80999755859375","30.798599243164062"
"CN-0057","medium_airport","Foluo Northeast Air Base",,"AS","CN","CN-46","","","","","109.16100311279297","18.69219970703125"
"CN-0061","medium_airport","Foshan Shadi Airport",6,"AS","CN","CN-44","Foshan","ZGFS","FUO","","113.069999695","23.083299636799996"
"CN-0063","medium_airport","Guiping Mengshu Air Base",,"AS","CN","CN-45","","","","","110.00900268554688","23.330799102783203"
"CN-0067","medium_airport","Xinyang Minggang Airport",312,"AS","CN","CN-41","Xinyang","ZHXY","XAI","","114.079141","32.540819"
"CN-0068","medium_airport","Huizhou Airport",50,"AS","CN","CN-44","Huizhou","ZGHZ","HUZ","","114.599998474","23.0499992371"
"CN-0069","medium_airport","Jialaishi Air Base",,"AS","CN","CN-46","","","","","109.72599792480469","19.697200775146484"
"CN-0071","medium_airport","Leiyang Air Base",,"AS","CN","CN-43","","","","","112.89199829101562","26.587200164794922"
"CN-0072","medium_airport","Lingshui Air Base",,"AS","CN","CN-46","","","","","109.98799896240234","18.494400024414062"
"CN-0074","medium_airport","Shangqiu Air Base",,"AS","CN","CN-41","Shangqiu","","","","115.459261","34.449507"
"CN-0076","medium_airport","Zhengzhou Air Base",,"AS","CN","CN-41","","","","","113.729631","34.86125"
"CN-0079","medium_airport","Shaoguan Guitou Airport",280,"AS","CN","CN-44","Shaoguan","","HSC","","113.42099762","24.9785995483"
"CN-0080","medium_airport","Suixi Air Base",,"AS","CN","CN-44","","","","","110.19999694824219","21.39579963684082"
"CN-0081","medium_airport","Jinggangshan Airport",281,"AS","CN","CN-36","Ji'an","ZSJA","JGS","","114.736999512","26.856899261499997"
"CN-0082","medium_airport","Baise Youjiang Airport",490,"AS","CN","CN-45","Baise","ZGBS","AEB","","106.959999084","23.7206001282"
"CN-0083","large_airport","Guodu air base",,"AS","CN","CN-U-A","","","","","117.63201","36.001741"
"CN-0085","medium_airport","Xiaogan Air Base",,"AS","CN","CN-42","","","","","113.91100311279297","30.95439910888672"
"CN-0089","medium_airport","Baitabu Air Base",,"AS","CN","CN-32","","","","","118.875","34.5713996887207"
"CN-0090","medium_airport","Cangxian Air Base",,"AS","CN","CN-13","","","","","116.92900085449219","38.40250015258789"
"CN-0091","medium_airport","Dongying Shengli Airport",15,"AS","CN","CN-37","Dongying","ZSDY","DOY","","118.788002014","37.5085983276"
"CN-0092","medium_airport","Jiaozhou/Jiaocheng Air Base",,"AS","CN","CN-37","","","","","120.02400207519531","36.33060073852539"
"CN-0093","medium_airport","Jinan Air Base",,"AS","CN","CN-37","","","","","116.9209976196289","36.67919921875"
"CN-0094","medium_airport","Jiugucheng Air Base",,"AS","CN","CN-13","","","","","116.11799621582031","37.4900016784668"
"CN-0095","medium_airport","Kaifeng Air Base",,"AS","CN","CN-41","Kaifeng","","","","114.33899688720703","34.75389862060547"
"CN-0096","medium_airport","Laiyang Air Base",,"AS","CN","CN-37","","","","","120.59100341796875","36.963600158691406"
"CN-0097","medium_airport","Luyang Air Base",,"AS","CN","CN-41","","","","","112.89099884033203","33.68470001220703"
"CN-0100","medium_airport","Qingdao-Cangkou Air Base",,"AS","CN","CN-37","","","","","120.39199829101562","36.15919876098633"
"CN-0103","medium_airport","Wendeng Air Base",,"AS","CN","CN-37","","","","","122.02300262451172","37.26470184326172"
"CN-0104","medium_airport","Xingcheng Air Base",30,"AS","CN","CN-21","","ZYXC","XEN","","120.697998047","40.580299377399996"
"CN-0105","medium_airport","Xuzhou Daguozhang Air Base",,"AS","CN","CN-32","","","","","117.55799865722656","34.05889892578125"
"CN-0106","medium_airport","Xuzhou Jiulishan Air Base",,"AS","CN","CN-32","","","","","117.24600219726562","34.23059844970703"
"CN-0109","medium_airport","Yidu Air Base",,"AS","CN","CN-37","","","","","118.5270004272461","36.591400146484375"
"CN-0111","medium_airport","Zhucheng Air Base",,"AS","CN","CN-37","","","","","119.43900299072266","36.02750015258789"
"CN-0113","medium_airport","Altay Air Base",2460,"AS","CN","CN-65","Altay","ZWAT","AAT","","88.08580780030002","47.7498855591"
"CN-0114","medium_airport","Baoji Air Base",,"AS","CN","CN-61","","","","","107.47200012207031","34.531700134277344"
"CN-0117","medium_airport","Gonghe Air Base",,"AS","CN","CN-63","","","","","100.4800033569336","36.336700439453125"
"CN-0123","medium_airport","Lanzhou Air Base",,"AS","CN","CN-62","Lanzhou","","","","104.21800231933594","35.91780090332031"
"CN-0125","medium_airport","Ljtao Air Base",,"AS","CN","CN-62","","","","","103.83599853515625","35.30830001831055"
"CN-0127","medium_airport","Qingshui Air Base",,"AS","CN","CN-62","","","","","98.88420104980469","39.5546989440918"
"CN-0130","medium_airport","Tianshui Maijishan Airport",3590,"AS","CN","CN-62","Tianshui","ZLTS","THQ","","105.86000061","34.5593986511"
"CN-0132","medium_airport","Urumqi South Air Base",,"AS","CN","CN-65","","","","","87.5322036743164","43.46580123901367"
"CN-0133","medium_airport","Uxxaktal Air Base",,"AS","CN","CN-65","","","","","87.18810272216797","42.181400299072266"
"CN-0134","medium_airport","Wugong Air Base",,"AS","CN","CN-61","","","","","108.26599884033203","34.274200439453125"
"CN-0135","medium_airport","Wulumuqi Air Base",2425,"AS","CN","CN-65","","","","","87.0785980225","43.9502983093"
"CN-0136","medium_airport","Wuwei Air Base",,"AS","CN","CN-62","","","","","102.56700134277344","37.98830032348633"
"CN-0137","medium_airport","Xian Air Base",,"AS","CN","CN-61","","","","","108.5989990234375","34.153900146484375"
"CN-0138","medium_airport","Xincheng Air Base",,"AS","CN","CN-36","","","","","114.61900329589844","25.54829978942871"
"CN-0139","medium_airport","Yaerbashi Test Range",,"AS","CN","CN-65","","","","","92.80809783935547","43.07720184326172"
"CN-0140","medium_airport","Yanliang Air Base",,"AS","CN","CN-61","","","","","109.24299621582031","34.64390182495117"
"CN-0143","medium_airport","Zhangye Ganzhou Airport",5280,"AS","CN","CN-62","Zhangye","ZLZY","YZY","","100.675003052","38.8018989563"
"CN-0145","medium_airport","Changzing Air Base",,"AS","CN","CN-33","","","","","119.73100280761719","30.968599319458008"
"CN-0146","medium_airport","Daishan Air Base",,"AS","CN","CN-33","","","","","122.1449966430664","30.287799835205078"
"CN-0147","medium_airport","Feidong Air Base",,"AS","CN","CN-34","","","","","117.65899658203125","31.909400939941406"
"CN-0149","medium_airport","Fuzhou Air Base",,"AS","CN","CN-35","Fuzhou","","","","119.31199645996094","26.0044002532959"
"CN-0152","medium_airport","Huian Air Base",,"AS","CN","CN-35","","","","","118.80699920654297","25.026100158691406"
"CN-0153","medium_airport","Jianqiao/Hangzhou Airfield",,"AS","CN","CN-33","Hangzhou","","","","120.24099731445312","30.33530044555664"
"CN-0154","medium_airport","Jiaxing Air Base",,"AS","CN","CN-33","","","","","120.68061065673828","30.706640243530273"
"CN-0158","medium_airport","Longtian/Lung-T'ien Air Base",,"AS","CN","CN-35","","","","","119.45999908447266","25.572799682617188"
"CN-0159","medium_airport","Longyou Air Base",,"AS","CN","CN-33","","","","","119.177001953125","29.113100051879883"
"CN-0161","medium_airport","Mahuiling Air Base",,"AS","CN","CN-36","","","","","115.802001953125","29.47719955444336"
"CN-0162","medium_airport","Nanchang New Airfield",,"AS","CN","CN-36","Nanchang","","","","115.93000030517578","28.63559913635254"
"CN-0163","medium_airport","Nanchang Xiangtang Air Base",,"AS","CN","CN-36","Nanchang","","","","115.92400360107422","28.420799255371094"
"CN-0165","medium_airport","Ningbo Zhangqiao Air Base",,"AS","CN","CN-33","","","","","121.5739974975586","29.922800064086914"
"CN-0169","medium_airport","Shanghai Dachang Air Base",,"AS","CN","CN-31","Shanghai","","","","121.41100311279297","31.32360076904297"
"CN-0182","medium_airport","Zhangshu Air Base",,"AS","CN","CN-36","","","","","115.5510025024414","28.021699905395508"
"CN-0185","medium_airport","Changchun Air Base",,"AS","CN","CN-22","","","","","125.197998046875","43.90530014038086"
"CN-0187","medium_airport","Chifeng Air Base",,"AS","CN","CN-15","","","","","118.84200286865234","42.15890121459961"
"CN-0189","medium_airport","Dandong Airport",30,"AS","CN","CN-21","Dandong","ZYDD","DDG","","124.286003","40.0247"
"CN-0190","medium_airport","Dingxin/Shuangchengzi Air Base",,"AS","CN","CN-62","","","","","99.78939819335938","40.40140151977539"
"CN-0191","medium_airport","Fuxin Air Base",,"AS","CN","CN-21","","","","","121.66200256347656","42.07889938354492"
"CN-0192","medium_airport","Gongzhuling Air Base",,"AS","CN","CN-22","","","","","124.78600311279297","43.524200439453125"
"CN-0193","medium_airport","Harbin Air Base",,"AS","CN","CN-23","","","","","126.658996582","45.597499847399995"
"CN-0197","medium_airport","Kaiyuan Air Base",,"AS","CN","CN-21","","","","","123.98200225830078","42.52579879760742"
"CN-0198","medium_airport","Lalin Air Base",,"AS","CN","CN-23","","","","","126.8949966430664","45.2593994140625"
"CN-0201","medium_airport","Pingquan Air Base",,"AS","CN","CN-13","","","","","118.68099975585938","40.90079879760742"
"CN-0204","medium_airport","Shenyang Beiling Air Base",,"AS","CN","CN-21","Shenyang","","","","123.43900299072266","41.87080001831055"
"CN-0206","medium_airport","Shenyang Yu Hung Tun Air Base",,"AS","CN","CN-21","Shenyang","","","","123.29900360107422","41.8224983215332"
"CN-0208","medium_airport","Siping Air Base",,"AS","CN","CN-22","","","","","124.29199981689453","43.156898498535156"
"CN-0209","medium_airport","Suizhong Air Base",,"AS","CN","CN-21","","","","","120.35900115966797","40.29890060424805"
"CN-0210","medium_airport","Tuchengzi Air Base",,"AS","CN","CN-21","","","","","121.23899841308594","38.912200927734375"
"CN-JNZ","medium_airport","Sanshilipu Air Base",,"AS","CN","CN-21","Dalian","","","","121.76100158691406","39.28950119018555"
"CNC3","medium_airport","Brampton-Caledon Airport",935,,"CA","CA-ON","","CNC3","","CNC3","-79.875","43.7603"
"CY-0002","medium_airport","Lefkoniko Airport",146,"AS","CY","CY-03","GeÃ§itkale","LCGK","GEC","","33.724358","35.235947"
"CYAC","medium_airport","Cat Lake Airport",1344,,"CA","CA-ON","Cat Lake","CYAC","YAC","","-91.82440185546875","51.72719955444336"
"CYAG","medium_airport","Fort Frances Municipal Airport",1125,,"CA","CA-ON","Fort Frances","CYAG","YAG","","-93.439697265625","48.65420150756836"
"CYAH","medium_airport","La Grande-4 Airport",1005,,"CA","CA-QC","La Grande-4","CYAH","YAH","","-73.6753005981","53.754699707"
"CYAL","medium_airport","Alert Bay Airport",240,,"CA","CA-BC","Alert Bay","CYAL","YAL","","-126.91600036621094","50.58219909667969"
"CYAM","medium_airport","Sault Ste Marie Airport",630,,"CA","CA-ON","Sault Ste Marie","CYAM","YAM","","-84.509399","46.485001"
"CYAQ","medium_airport","Kasabonika Airport",672,,"CA","CA-ON","Kasabonika","CYAQ","XKS","","-88.6427993774414","53.52470016479492"
"CYAS","medium_airport","Kangirsuk Airport",403,,"CA","CA-QC","Kangirsuk","CYAS","YKG","","-69.99919891357422","60.027198791503906"
"CYAT","medium_airport","Attawapiskat Airport",31,,"CA","CA-ON","Attawapiskat","CYAT","YAT","","-82.43190002441406","52.9275016784668"
"CYAU","medium_airport","Liverpool South Shore Regional Airport",321,,"CA","CA-NS","Liverpool","CYAU","","YAU","-64.85610198970001","44.2303009033"
"CYAV","medium_airport","Winnipeg / St. Andrews Airport",760,,"CA","CA-MB","Winnipeg","CYAV","","","-97.032501","50.0564"
"CYAX","medium_airport","Lac Du Bonnet Airport",850,,"CA","CA-MB","Lac Du Bonnet","CYAX","","","-96.010002","50.294399"
"CYAY","medium_airport","St. Anthony Airport",108,,"CA","CA-NL","St. Anthony","CYAY","YAY","","-56.083099365200006","51.3918991089"
"CYAZ","medium_airport","Tofino / Long Beach Airport",80,,"CA","CA-BC","Tofino","CYAZ","YAZ","","-125.775583","49.079833"
"CYBB","medium_airport","Kugaaruk Airport",56,,"CA","CA-NU","Kugaaruk","CYBB","YBB","","-89.808098","68.534401"
"CYBC","medium_airport","Baie Comeau Airport",71,,"CA","CA-QC","Baie-Comeau","CYBC","YBC","YBC","-68.204399","49.1325"
"CYBD","medium_airport","Bella Coola Airport",117,,"CA","CA-BC","Bella Coola","CYBD","QBC","","-126.596001","52.387501"
"CYBE","medium_airport","Uranium City Airport",1044,,"CA","CA-SK","Uranium City","CYBE","YBE","","-108.48100280761719","59.5614013671875"
"CYBF","medium_airport","Bonnyville Airport",1836,,"CA","CA-AB","Bonnyville","CYBF","YBY","","-110.744003","54.304199"
"CYBG","medium_airport","CFB Bagotville",522,,"CA","CA-QC","Bagotville","CYBG","YBG","","-70.99639892578125","48.33060073852539"
"CYBK","medium_airport","Baker Lake Airport",59,,"CA","CA-NU","Baker Lake","CYBK","YBK","","-96.077796936","64.29889678960001"
"CYBL","medium_airport","Campbell River Airport",346,,"CA","CA-BC","Campbell River","CYBL","YBL","YBL","-125.271004","49.950802"
"CYBQ","medium_airport","Tadoule Lake Airport",923,,"CA","CA-MB","Tadoule Lake","CYBQ","XTL","","-98.512199","58.7061"
"CYBR","medium_airport","Brandon Municipal Airport",1343,,"CA","CA-MB","Brandon","CYBR","YBR","","-99.951897","49.91"
"CYBT","medium_airport","Brochet Airport",1136,,"CA","CA-MB","Brochet","CYBT","YBT","","-101.679001","57.8894"
"CYBU","medium_airport","Nipawin Airport",1220,,"CA","CA-SK","Nipawin","CYBU","","","-104.00800323486328","53.33250045776367"
"CYBV","medium_airport","Berens River Airport",728,,"CA","CA-MB","Berens River","CYBV","YBV","","-97.018303","52.358898"
"CYBW","medium_airport","Calgary / Springbank Airport",3940,,"CA","CA-AB","Calgary","CYBW","","","-114.374001","51.1031"
"CYBX","medium_airport","Lourdes de Blanc Sablon Airport",121,,"CA","CA-QC","Lourdes-De-Blanc-Sablon","CYBX","YBX","","-57.185298919699996","51.443599700899995"
"CYCA","medium_airport","Cartwright Airport",40,,"CA","CA-NL","Cartwright","CYCA","YRF","","-57.041900634765625","53.68280029296875"
"CYCB","medium_airport","Cambridge Bay Airport",90,,"CA","CA-NU","Cambridge Bay","CYCB","YCB","","-105.138000488","69.1081008911"
"CYCC","medium_airport","Cornwall Regional Airport",175,,"CA","CA-ON","Cornwall","CYCC","YCC","","-74.56330108642578","45.09280014038086"
"CYCD","medium_airport","Nanaimo Airport",92,,"CA","CA-BC","Nanaimo","CYCD","YCD","","-123.869862556","49.054970224899996"
"CYCE","medium_airport","Centralia / James T. Field Memorial Aerodrome",824,,"CA","CA-ON","Centralia","CYCE","YCE","CYCE","-81.508301","43.285599"
"CYCG","medium_airport","Castlegar/West Kootenay Regional Airport",1624,,"CA","CA-BC","Castlegar","CYCG","YCG","","-117.632003784","49.2963981628"
"CYCH","medium_airport","Miramichi Airport",108,,"CA","CA-NB","Miramichi","CYCH","YCH","","-65.449203","47.007801"
"CYCL","medium_airport","Charlo Airport",132,,"CA","CA-NB","Charlo","CYCL","YCL","","-66.330299","47.990799"
"CYCN","medium_airport","Cochrane Airport",861,,"CA","CA-ON","Cochrane","CYCN","YCN","","-81.01360321044922","49.10559844970703"
